class;maximumDIT;minimumDIT;fileType;;;;
/AnkiDroid/src/com/ichi2/anki/DeckOptions.java/DeckOptions/DeckPreferenceHack/Editor/mConfChangeHandler/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckOptions.java/DeckOptions/JSONNameComparator;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckOptions.java/DeckOptions/registerExternalStorageListener/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java;2;3;1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/createTutorialDeck/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/deleteContextMenuDeck/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/DialogHandler;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/integrityCheck/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/mDeckSelHandler/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/mediaCheck/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/mExportListener/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/mImportAddListener/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/mImportReplaceListener/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/mLoadCountsHandler/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/mSyncListener/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/onCreate/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/onCreate/;2;2;-1;;;;
